Geography,County,countyfips,Female Percent Bach
0500000US51678,"Lexington city, Virginia",51678,0.194417709
0500000US51680,"Lynchburg city, Virginia",51680,0.241623158
0500000US51683,"Manassas city, Virginia",51683,0.204883187
0500000US51685,"Manassas Park city, Virginia",51685,0.179412543
0500000US51690,"Martinsville city, Virginia",51690,0.144098228
0500000US51700,"Newport News city, Virginia",51700,0.198309994
0500000US51710,"Norfolk city, Virginia",51710,0.192267816
0500000US51720,"Norton city, Virginia",51720,0.104230118
0500000US51730,"Petersburg city, Virginia",51730,0.12926977
0500000US51735,"Poquoson city, Virginia",51735,0.254524362
0500000US51740,"Portsmouth city, Virginia",51740,0.144884359
0500000US51750,"Radford city, Virginia",51750,0.190014542
0500000US51760,"Richmond city, Virginia",51760,0.250096019
0500000US51770,"Roanoke city, Virginia",51770,0.160573066
0500000US51775,"Salem city, Virginia",51775,0.199884393
0500000US51790,"Staunton city, Virginia",51790,0.208509917
0500000US51800,"Suffolk city, Virginia",51800,0.190749396
0500000US51810,"Virginia Beach city, Virginia",51810,0.257387557
0500000US51820,"Waynesboro city, Virginia",51820,0.153022871
0500000US51830,"Williamsburg city, Virginia",51830,0.257997399
0500000US51840,"Winchester city, Virginia",51840,0.201898836
